strategy_0,strategy_1,strategy_2,poaching_regret,logging_regret,eq_str
1.0,0.0,0.0,-0.0,0.16325582586524234,"[1.0, 0.0, 0.0]"
0.75,0.125,0.125,0.22273403259342484,0.539699145702909,"[0.75, 0.12, 0.12]"
0.75,0.25,0.25,0.33235391852405805,0.20776376645525652,"[0.75, 0.25, 0.25]"
0.75,0.25,0.0,0.026786211289945072,0.3275896235703204,"[0.75, 0.25, 0.0]"
0.75,0.0,0.25,0.44290109051716975,0.7101085251464028,"[0.75, 0.0, 0.25]"
0.0,1.0,0.0,0.6874704394718307,-0.0,"[0.0, 1.0, 0.0]"
0.125,0.75,0.125,0.21412413063434688,0.06014305497213446,"[0.12, 0.75, 0.12]"
0.25,0.75,0.25,0.20729966281574086,0.19725611602998683,"[0.25, 0.75, 0.25]"
0.25,0.75,0.0,0.4054858404915329,0.130144453747274,"[0.25, 0.75, 0.0]"
0.0,0.75,0.25,0.061517941445639934,0.08332958533709167,"[0.0, 0.75, 0.25]"
0.0,0.0,1.0,0.24018856080653705,0.6528014438681922,"[0.0, 0.0, 1.0]"
0.125,0.125,0.75,0.7733782023970575,0.1040165067107619,"[0.12, 0.12, 0.75]"
0.25,0.25,0.75,0.7975066494030845,0.18648500984836858,"[0.25, 0.25, 0.75]"
0.25,0.0,0.75,0.4480247339707688,0.13121238992541429,"[0.25, 0.0, 0.75]"
0.0,0.25,0.75,0.4749044018215738,0.2458396380294623,"[0.0, 0.25, 0.75]"
0.5908658907182641,0.4091341092817359,0.0,0.2334644034177809,0.22834311441998323,"[0.59, 0.41, 0.0]"
0.0,0.0,1.0,0.6468750558894527,0.5495329070533188,"[0.0, 0.0, 1.0]"
