strategy_0,strategy_1,strategy_2,strategy_3,poaching_regret,logging_regret,eq_str
0.25,0.25,0.25,0.25,0.010676010102033562,0.03356641933321858,"[0.25, 0.25, 0.25, 0.25]"
1.0,0.0,0.0,0.0,0.024112653136253215,0.06859494388103382,"[1.0, 0.0, 0.0, 0.0]"
0.75,0.25,0.0,0.0,0.01886705964803692,0.05820664018392452,"[0.75, 0.25, 0.0, 0.0]"
0.75,0.0,0.25,0.0,0.01723067566752423,0.061103459000586335,"[0.75, 0.0, 0.25, 0.0]"
0.75,0.0,0.0,0.25,0.02194976687431316,0.051446207910775366,"[0.75, 0.0, 0.0, 0.25]"
0.0,1.0,0.0,0.0,0.0031302791833880406,0.02704172909259661,"[0.0, 1.0, 0.0, 0.0]"
0.25,0.75,0.0,0.0,0.008375872671604334,0.037430032789705914,"[0.25, 0.75, 0.0, 0.0]"
0.0,0.75,0.25,0.0,0.0023477093875410304,0.02993854790925843,"[0.0, 0.75, 0.25, 0.0]"
0.0,0.75,0.0,0.25,0.006212986409664278,0.02028129681944746,"[0.0, 0.75, 0.0, 0.25]"
0.0,0.0,1.0,0.0,-0.0,0.03862900435924388,"[0.0, 0.0, 1.0, 0.0]"
0.25,0.0,0.75,0.0,0.006028163284063304,0.046120489239691365,"[0.25, 0.0, 0.75, 0.0]"
0.0,0.25,0.75,0.0,0.0007825697958470101,0.03573218554258206,"[0.0, 0.25, 0.75, 0.0]"
0.0,0.0,0.75,0.25,0.0005606731772420659,0.02897175326943291,"[0.0, 0.0, 0.75, 0.25]"
0.0,0.0,0.0,1.0,0.015461108088492992,-0.0,"[0.0, 0.0, 0.0, 1.0]"
0.25,0.0,0.0,0.75,0.017623994350433048,0.017148735970258455,"[0.25, 0.0, 0.0, 0.75]"
0.0,0.25,0.0,0.75,0.012378400862216754,0.006760432273149153,"[0.0, 0.25, 0.0, 0.75]"
0.0,0.0,0.25,0.75,0.011595831066369744,0.00965725108981097,"[0.0, 0.0, 0.25, 0.75]"
0.2910376070510921,0.708962392948908,0.0,0.0,0.009236939088881086,0.03913527728990343,"[0.29, 0.71, 0.0, 0.0]"
0.0,0.0,0.5277330488406917,0.4722669511593082,0.007301770378497105,0.020385802244184143,"[0.0, 0.0, 0.53, 0.47]"
