strategy_0,strategy_1,strategy_2,poaching_regret,logging_regret,eq_str
1.0,0.0,0.0,0.9150927055200739,0.8020000688074731,"[1.0, 0.0, 0.0]"
0.75,0.125,0.125,0.8122871322407361,0.6395968348932222,"[0.75, 0.12, 0.12]"
0.75,0.25,0.25,0.935628356649211,0.6776936181808395,"[0.75, 0.25, 0.25]"
0.75,0.25,0.0,0.6863195291400555,0.6015000516056048,"[0.75, 0.25, 0.0]"
0.75,0.0,0.25,0.9382547353414168,0.6776936181808395,"[0.75, 0.0, 0.25]"
0.0,1.0,0.0,-0.0,-0.0,"[0.0, 1.0, 0.0]"
0.125,0.75,0.125,0.2403541912906899,0.13834679188855148,"[0.12, 0.75, 0.12]"
0.25,0.75,0.25,0.4807083825813798,0.27669358377710296,"[0.25, 0.75, 0.25]"
0.25,0.75,0.0,0.22877317638001848,0.20050001720186827,"[0.25, 0.75, 0.0]"
0.0,0.75,0.25,0.25193520620136134,0.07619356657523468,"[0.0, 0.75, 0.25]"
0.0,0.0,1.0,1.0077408248054454,0.30477426630093873,"[0.0, 0.0, 1.0]"
0.125,0.125,0.75,0.8701922067940933,0.3288307083266382,"[0.12, 0.12, 0.75]"
0.25,0.25,0.75,0.9845787949841025,0.4290807169275723,"[0.25, 0.25, 0.75]"
0.25,0.0,0.75,0.9845787949841025,0.4290807169275723,"[0.25, 0.0, 0.75]"
0.0,0.25,0.75,0.755805618604084,0.22858069972570405,"[0.0, 0.25, 0.75]"
0.5908658907182641,0.4091341092817359,0.0,0.5406970665369046,0.4738744850120367,"[0.59, 0.41, 0.0]"
0.0,0.0,1.0,1.0077408248054454,0.30477426630093873,"[0.0, 0.0, 1.0]"
